channel,message_id,date,text,sender_id,views,image_path,doc_path,processed_text
@AwasMart,11854,2025-06-20T10:53:49+00:00,🌵Dancing Cactus Toy,-1001429900086,1560,,data/raw/media\@AwasMart_11854.mp4,🌵Dancing Cactus Toy
@AwasMart,11853,2025-06-20T10:53:49+00:00,🌵Dancing Cactus Toy,-1001429900086,1509,,data/raw/media\@AwasMart_11853.mp4,🌵Dancing Cactus Toy
@AwasMart,11852,2025-06-20T10:53:15+00:00,"🌵Dancing Cactus Toy 

😱ልጆቼ በምን ይዝናኑ ብሎ መጨነቅ ቀረ 😱
👶የሕጻናት አጫዋች❤
🔹በቻርጅ የሚሰራ🔋
🔹ድምጽ / ሙዚቃ 🔊 ሲከፈት የሚደንስ🥳
🔹የልጆችን ትኩረት👀 የሚስብ
🔹ልጆች በሚናገሩትን ደግሞ እያወራ የሚያዝናናቸው 
🌵ተክል የሚመስል ጌጥ

       ዋጋ💵፦  💰1,000 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,1217,data/raw/media\@AwasMart_11852.jpg,,"🌵Dancing Cactus Toy 😱ልጆቼ በምን ይዝናኑ ብሎ መጨነቅ ቀረ 😱 👶የሕጻናት አጫዋች❤ 🔹በቻርጅ የሚሰራ🔋 🔹ድምጽ / ሙዚቃ 🔊 ሲከፈት የሚደንስ🥳 🔹የልጆችን ትኩረት👀 የሚስብ 🔹ልጆች በሚናገሩትን ደግሞ እያወራ የሚያዝናናቸው 🌵ተክል የሚመስል ጌጥ ዋጋ💵 💰1,000 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌"
@AwasMart,11851,2025-06-20T07:15:50+00:00,"🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽
❇️12pcs Silicone Kitchen Set",-1001429900086,1530,,data/raw/media\@AwasMart_11851.mp4,🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽 ❇️12pcs Silicone Kitchen Set
@AwasMart,11850,2025-06-20T07:15:50+00:00,,-1001429900086,1450,data/raw/media\@AwasMart_11850.jpg,,
@AwasMart,11849,2025-06-20T07:15:50+00:00,"❇️12pcs Silicone Kitchen Set

👉available colors:- black and dark grey

         ዋጋ💵፦  💰2,000 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,1466,data/raw/media\@AwasMart_11849.jpg,,"❇️12pcs Silicone Kitchen Set 👉available colors:- black and dark grey ዋጋ💵 💰2,000 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌"
@AwasMart,11848,2025-06-19T13:06:12+00:00,"👨‍💻👩‍💻🧑‍💻👩‍💻👨‍💻😴🧑‍💻👩‍💻👨‍💻👨‍💻 
Foldable Height Adjustable Metal Frame Laptop Stand",-1001429900086,1962,,data/raw/media\@AwasMart_11848.mp4,👨‍💻👩‍💻🧑‍💻👩‍💻👨‍💻😴🧑‍💻👩‍💻👨‍💻👨‍💻 Foldable Height Adjustable Metal Frame Laptop Stand
@AwasMart,11847,2025-06-19T13:06:12+00:00,"👩‍💻 Foldable Height Adjustable Metal Frame Laptop Stand👨‍💻
🔰Help your sitting posture
💯 High  Quality ( የብረቱ )

ላፕቶፕ ጭን ላይ አስቀምጠው መጠቀም ለከፋ ጉዳት እንደሚያጋልጥ የጤና ባለሙያዎች ይናገራሉ ፤ እንዲሁም ቴብል ላይ አድርገዉ ሲጠቀሙ ፋኑ ስለሚደፈን  ከፍተኛ ሙቀት በመፍጠር ድምፅ ያሰማል። 

ለዚህ ሁሉ መፍትሄ ተጣጣፊ የላፕቶፕ ፣ ታብሌት Holder በተመጣጣኝ ዋጋ ገዝተዉ የእርስዎንና የላፕቶፕዎን ጤንነት ይጠብቁ።

       ዋጋ💵፦  💰1,000 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,1890,data/raw/media\@AwasMart_11847.jpg,,"👩‍💻 Foldable Height Adjustable Metal Frame Laptop Stand👨‍💻 🔰Help your sitting posture 💯 High Quality ( የብረቱ ) ላፕቶፕ ጭን ላይ አስቀምጠው መጠቀም ለከፋ ጉዳት እንደሚያጋልጥ የጤና ባለሙያዎች ይናገራሉ እንዲሁም ቴብል ላይ አድርገዉ ሲጠቀሙ ፋኑ ስለሚደፈን ከፍተኛ ሙቀት በመፍጠር ድምፅ ያሰማል ለዚህ ሁሉ መፍትሄ ተጣጣፊ የላፕቶፕ ታብሌት Holder በተመጣጣኝ ዋጋ ገዝተዉ የእርስዎንና የላፕቶፕዎን ጤንነት ይጠብቁ ዋጋ💵 💰1,000 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌"
@AwasMart,11846,2025-06-19T07:18:36+00:00,"🍊🍊🍊🍎🍎🍎🍋🍋🍋🍇🍇🍇
❇️ Manual Hand Press Fruit Juicer",-1001429900086,2002,,data/raw/media\@AwasMart_11846.mp4,🍊🍊🍊🍎🍎🍎🍋🍋🍋🍇🍇🍇 ❇️ Manual Hand Press Fruit Juicer
@AwasMart,11845,2025-06-19T07:18:36+00:00,"🍊🍊🍊🍎🍎🍎🍋🍋🍋🍇🍇🍇
❇️ Manual Hand Press Fruit Juicer",-1001429900086,1921,,data/raw/media\@AwasMart_11845.mp4,🍊🍊🍊🍎🍎🍎🍋🍋🍋🍇🍇🍇 ❇️ Manual Hand Press Fruit Juicer
@AwasMart,11844,2025-06-19T07:18:36+00:00,"🍊🍊🍊🍎🍎🍎🍋🍋🍋🍇🍇🍇
❇️ Manual Hand Press Fruit Juicer

 🔰Safe 
🔰Quick 
🔰Super Easy to Clean and 
🔰Effective Juicing

ዋጋ💵፦  💰 1,000 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,1819,data/raw/media\@AwasMart_11844.jpg,,"🍊🍊🍊🍎🍎🍎🍋🍋🍋🍇🍇🍇 ❇️ Manual Hand Press Fruit Juicer 🔰Safe 🔰Quick 🔰Super Easy to Clean and 🔰Effective Juicing ዋጋ💵 💰 1,000 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌"
@AwasMart,11843,2025-06-18T06:28:29+00:00,❇️Impulse sealer for PP/PE bags,-1001429900086,2279,,data/raw/media\@AwasMart_11843.mp4,❇️Impulse sealer for PP/PE bags
@AwasMart,11842,2025-06-18T06:28:29+00:00,"❇️ Brother Impulse sealer for PP/PE bags

👉Size:- 400mm

       ዋጋ💵፦  💰 4,000 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,2257,data/raw/media\@AwasMart_11842.jpg,,"❇️ Brother Impulse sealer for PP/PE bags 👉Size:- 400mm ዋጋ💵 💰 4,000 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌"
@AwasMart,11841,2025-06-17T13:12:32+00:00,,-1001429900086,2675,data/raw/media\@AwasMart_11841.jpg,,
@AwasMart,11840,2025-06-17T13:12:32+00:00,,-1001429900086,2764,data/raw/media\@AwasMart_11840.jpg,,
@AwasMart,11839,2025-06-17T13:12:31+00:00,,-1001429900086,2537,data/raw/media\@AwasMart_11839.jpg,,
@AwasMart,11838,2025-06-17T12:39:33+00:00,,-1001429900086,2617,data/raw/media\@AwasMart_11838.jpg,,
@AwasMart,11837,2025-06-17T06:03:11+00:00,"🦌🔔🍭🤭🧦🎁🎄☃️💡🕯
🛀Pororo sponge clay🛁🛁🛁",-1001429900086,2879,,data/raw/media\@AwasMart_11837.mp4,🦌🔔🍭🤭🧦🎁🎄☃️💡🕯 🛀Pororo sponge clay🛁🛁🛁
@AwasMart,11836,2025-06-17T06:03:11+00:00,"🦌🔔🍭🤭🧦🎁🎄☃️💡🕯
🛀Pororo sponge clay🛁🛁🛁",-1001429900086,2753,,data/raw/media\@AwasMart_11836.mp4,🦌🔔🍭🤭🧦🎁🎄☃️💡🕯 🛀Pororo sponge clay🛁🛁🛁
@AwasMart,11835,2025-06-17T06:03:11+00:00,,-1001429900086,2359,data/raw/media\@AwasMart_11835.jpg,,
@AwasMart,11834,2025-06-17T06:03:11+00:00,,-1001429900086,2398,data/raw/media\@AwasMart_11834.jpg,,
@AwasMart,11833,2025-06-17T06:03:10+00:00,"🛀Pororo sponge clay🛁🛁🛁

👉Exfoliating sponge clay

       ዋጋ💵፦  💰200 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,2255,data/raw/media\@AwasMart_11833.jpg,,🛀Pororo sponge clay🛁🛁🛁 👉Exfoliating sponge clay ዋጋ💵 💰200 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌
@AwasMart,11832,2025-06-16T14:43:53+00:00,,-1001429900086,2649,data/raw/media\@AwasMart_11832.jpg,,
@AwasMart,11831,2025-06-16T14:43:53+00:00,,-1001429900086,2848,data/raw/media\@AwasMart_11831.jpg,,
@AwasMart,11830,2025-06-16T14:43:53+00:00,,-1001429900086,2552,data/raw/media\@AwasMart_11830.jpg,,
@AwasMart,11829,2025-06-16T14:43:53+00:00,,-1001429900086,2533,data/raw/media\@AwasMart_11829.jpg,,
@AwasMart,11828,2025-06-16T14:43:53+00:00,,-1001429900086,2405,data/raw/media\@AwasMart_11828.jpg,,
@AwasMart,11827,2025-06-16T14:43:53+00:00,,-1001429900086,2456,data/raw/media\@AwasMart_11827.jpg,,
@AwasMart,11826,2025-06-16T14:43:53+00:00,,-1001429900086,2371,data/raw/media\@AwasMart_11826.jpg,,
@AwasMart,11825,2025-06-16T14:43:52+00:00,"❇️Hair Scalp Massager

👉Silicone Bristles 

    ዋጋ💵፦  💰 250 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,2518,data/raw/media\@AwasMart_11825.jpg,,❇️Hair Scalp Massager 👉Silicone Bristles ዋጋ💵 💰 250 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌
@AwasMart,11824,2025-06-16T06:27:33+00:00,"👼👼👼👼👼👼👼👼👼👼👶👶
❇️BABY SWADDLING BLANKETS",-1001429900086,2696,,data/raw/media\@AwasMart_11824.mp4,👼👼👼👼👼👼👼👼👼👼👶👶 ❇️BABY SWADDLING BLANKETS
@AwasMart,11823,2025-06-16T06:26:54+00:00,"👼👼👼👼👼👼👼👼👼👼👶👶
❇️BABY SWADDLING BLANKETS

የጨቅላ ህፃናት ማቀፊያና ማስተኛ ብርድ ልብስ
👉 አዲስ ለተወለዱ እና  እስከ 6ወር ላሉ ህፃናት የሚሆን
👉 በጣም ወፍራም ለስላሳ
👉 ህፃናት እና እናቶች የሚመርጡት 

ዋጋ💵፦  💰 1,800 ብር

💬በቴሌግራም ለማዘዝ @awasadmin1
                                        @awasadmin2

📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,2754,data/raw/media\@AwasMart_11823.jpg,,"👼👼👼👼👼👼👼👼👼👼👶👶 ❇️BABY SWADDLING BLANKETS የጨቅላ ህፃናት ማቀፊያና ማስተኛ ብርድ ልብስ 👉 አዲስ ለተወለዱ እና እስከ 6ወር ላሉ ህፃናት የሚሆን 👉 በጣም ወፍራም ለስላሳ 👉 ህፃናት እና እናቶች የሚመርጡት ዋጋ💵 💰 1,800 ETB 💬በቴሌግራም ለማዘዝ @awasadmin1 @awasadmin2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌"
@AwasMart,11822,2025-06-14T18:01:27+00:00,,-1001429900086,3261,data/raw/media\@AwasMart_11822.jpg,,
@AwasMart,11821,2025-06-14T18:01:26+00:00,,-1001429900086,3338,data/raw/media\@AwasMart_11821.jpg,,
@AwasMart,11820,2025-06-14T18:01:26+00:00,,-1001429900086,3087,data/raw/media\@AwasMart_11820.jpg,,
@AwasMart,11819,2025-06-14T18:01:26+00:00,,-1001429900086,3168,data/raw/media\@AwasMart_11819.jpg,,
@AwasMart,11818,2025-06-14T18:01:26+00:00,,-1001429900086,3015,data/raw/media\@AwasMart_11818.jpg,,
@AwasMart,11817,2025-06-14T18:01:26+00:00,,-1001429900086,3113,data/raw/media\@AwasMart_11817.jpg,,
@AwasMart,11816,2025-06-14T18:01:26+00:00,,-1001429900086,2928,data/raw/media\@AwasMart_11816.jpg,,
@AwasMart,11815,2025-06-14T18:01:26+00:00,,-1001429900086,2990,data/raw/media\@AwasMart_11815.jpg,,
@AwasMart,11814,2025-06-14T18:01:26+00:00,"❇️ Mouth and Nasal Aspirator 

       ዋጋ💵፦  💰 450 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,3014,data/raw/media\@AwasMart_11814.jpg,,❇️ Mouth and Nasal Aspirator ዋጋ💵 💰 450 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌
