channel,message_id,date,text,sender_id,views,image_path,doc_path,processed_text,conll_text
@AwasMart,11859,2025-06-21T07:36:56+00:00,,-1001429900086,954,data/raw/media\@AwasMart_11859.jpg,,,
@AwasMart,11858,2025-06-21T07:36:56+00:00,,-1001429900086,954,data/raw/media\@AwasMart_11858.jpg,,,
@AwasMart,11857,2025-06-21T07:36:55+00:00,,-1001429900086,967,data/raw/media\@AwasMart_11857.jpg,,,
@AwasMart,11856,2025-06-21T07:36:55+00:00,,-1001429900086,963,data/raw/media\@AwasMart_11856.jpg,,,
@AwasMart,11855,2025-06-21T07:36:55+00:00,"❇️Baby bank feeding bottle

       ዋጋ💵፦  💰 2,000 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,847,data/raw/media\@AwasMart_11855.jpg,,"❇️Baby bank feeding bottle ዋጋ💵 💰 2,000 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌","ህጻን ባንክ መመገቢያ ጠርሙስ ዋጋ 2,000 ETB በቴሌግራም ለማዘዝ wamrt1 wamrt2 አድራሻችን - 1 . ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2 . ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 ( 251941661030 251943190237) ለወዳጅዎ ስላጋሩ እናመሠግናለን ቴሌግራም ቻናል t.me AwasMart"
@AwasMart,11854,2025-06-20T10:53:49+00:00,🌵Dancing Cactus Toy,-1001429900086,1851,,data/raw/media\@AwasMart_11854.mp4,🌵Dancing Cactus Toy,ዳንስ_ሰሪ በረሃ_ተክል አሻንጉሊት
@AwasMart,11853,2025-06-20T10:53:49+00:00,🌵Dancing Cactus Toy,-1001429900086,1743,,data/raw/media\@AwasMart_11853.mp4,🌵Dancing Cactus Toy,ዳንስ_ሰሪ በረሃ_ተክል አሻንጉሊት
@AwasMart,11852,2025-06-20T10:53:15+00:00,"🌵Dancing Cactus Toy 

😱ልጆቼ በምን ይዝናኑ ብሎ መጨነቅ ቀረ 😱
👶የሕጻናት አጫዋች❤
🔹በቻርጅ የሚሰራ🔋
🔹ድምጽ / ሙዚቃ 🔊 ሲከፈት የሚደንስ🥳
🔹የልጆችን ትኩረት👀 የሚስብ
🔹ልጆች በሚናገሩትን ደግሞ እያወራ የሚያዝናናቸው 
🌵ተክል የሚመስል ጌጥ

       ዋጋ💵፦  💰1,000 ብር

💬በቴሌግራም ለማዘዝ @wamrt1
                                   @wamrt2
📍አድራሻችን:-
1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29

2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 

📻(+251941661030 / +251943190237)

👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️

🤪 ቴሌግራም ቻናል t.me/AwasMart

📌📌📌📌📌📌📌📌📌📌📌",-1001429900086,1502,data/raw/media\@AwasMart_11852.jpg,,"🌵Dancing Cactus Toy 😱ልጆቼ በምን ይዝናኑ ብሎ መጨነቅ ቀረ 😱 👶የሕጻናት አጫዋች❤ 🔹በቻርጅ የሚሰራ🔋 🔹ድምጽ / ሙዚቃ 🔊 ሲከፈት የሚደንስ🥳 🔹የልጆችን ትኩረት👀 የሚስብ 🔹ልጆች በሚናገሩትን ደግሞ እያወራ የሚያዝናናቸው 🌵ተክል የሚመስል ጌጥ ዋጋ💵 💰1,000 ETB 💬በቴሌግራም ለማዘዝ @wamrt1 @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 📻(+251941661030 / +251943190237) 👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️ 🤪 ቴሌግራም ቻናል t.me/AwasMart 📌📌📌📌📌📌📌📌📌📌📌","ዳንስ_ሰሪ በረሃ_ተክል አሻንጉሊት ልጆቼ በምን ይዝናኑ ብሎ መጨነቅ ቀረ የሕጻናት አጫዋች በቻርጅ የሚሰራ ድምጽ ሙዚቃ ሲከፈት የሚደንስ የልጆችን ትኩረት የሚስብ ልጆች በሚናገሩትን ደግሞ እያወራ የሚያዝናናቸው ተክል የሚመስል ጌጥ ዋጋ 1,000 ETB በቴሌግራም ለማዘዝ wamrt1 wamrt2 አድራሻችን - 1 . ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29 2 . ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05 ( 251941661030 251943190237) ለወዳጅዎ ስላጋሩ እናመሠግናለን ቴሌግራም ቻናል t.me AwasMart"
@AwasMart,11851,2025-06-20T07:15:50+00:00,"🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽
❇️12pcs Silicone Kitchen Set",-1001429900086,1681,,data/raw/media\@AwasMart_11851.mp4,🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽🍽 ❇️12pcs Silicone Kitchen Set,12pcs Silicone ኩሽና ስብስብ
@AwasMart,11850,2025-06-20T07:15:50+00:00,,-1001429900086,1601,data/raw/media\@AwasMart_11850.jpg,,,
