channel,message_id,date,text,sender_id,views,image_path,doc_path,processed_text
@ethio_market_place,11011,2024-09-19T12:43:57+00:00,📌 iPhone 14 Pro Max,-1001601399995,209,data/raw/media\@ethio_market_place_11011.jpg,,📌 iPhone 14 Pro Max
@ethio_market_place,11010,2024-09-19T12:43:45+00:00,📌 iPhone 15 Pro Max,-1001601399995,206,data/raw/media\@ethio_market_place_11010.jpg,,📌 iPhone 15 Pro Max
@ethio_market_place,11009,2024-09-19T12:43:25+00:00,"ዉድ ደንበኞቻችን፣በሁሉም ላፕቶፖች 
ላይ ምንም አይነት የዋጋ ጭማሪ አላደረግንም !🙏🙏🙏",-1001601399995,183,data/raw/media\@ethio_market_place_11009.jpg,,ዉድ ደንበኞቻችንበሁሉም ላፕቶፖች ላይ ምንም አይነት የዋጋ ጭማሪ አላደረግንም 🙏🙏🙏
@ethio_market_place,11008,2024-09-19T12:42:56+00:00,"ዉድ ደንበኞቻችን፣በሁሉም ላፕቶፖች 
ላይ ምንም አይነት የዋጋ ጭማሪ አላደረግንም !🙏🙏🙏
🛡️ ከ 1 አመት ዋሰትና ጋር🛡️
በብዛት አስገብተናል😍
አሁን ደግሞ በ 512 SSD 
በተመሳሳይ ዋጋ😍😍😍
📌ይህ ላፕቶፕ በማንኛውም 
     ጊዜ ሱቃችን ይገኛል📌
       👌ሁሌ አለ👌
🔵💻Hp slim elitbook 
Slim Core i5 6th Generation @2.9ghz
Model : Hp Elitbook 840 G3 6th gen.
Condition: Brand New 
🔘GRAPHICS: intel HD graphics 520
🖥 Screen :14.1inch 1080p FHD 
📼 Storage : 1TB HDD OR 512 SSD
⏳Ram : 8gb DDR4
🔋:5hr.+ hours battery life  
👉white keyboard backlit
👉finger print support
👉HD Sound system",-1001601399995,165,data/raw/media\@ethio_market_place_11008.jpg,,ዉድ ደንበኞቻችንበሁሉም ላፕቶፖች ላይ ምንም አይነት የዋጋ ጭማሪ አላደረግንም 🙏🙏🙏 🛡️ ከ 1 አመት ዋሰትና ጋር🛡️ በብዛት አስገብተናል😍 አሁን ደግሞ በ 512 SSD በተመሳሳይ ዋጋ😍😍😍 📌ይህ ላፕቶፕ በማንኛውም ጊዜ ሱቃችን ይገኛል📌 👌ሁሌ አለ👌 🔵💻Hp slim elitbook Slim Core i5 6th Generation @2.9ghz Model : Hp Elitbook 840 G3 6th gen. Condition: Brand New 🔘GRAPHICS: intel HD graphics 520 🖥 Screen :14.1inch 1080p FHD 📼 Storage : 1TB HDD OR 512 SSD ⏳Ram : 8gb DDR4 🔋:5hr.+ hours battery life 👉white keyboard backlit 👉finger print support 👉HD Sound system
@ethio_market_place,11007,2024-09-19T12:42:38+00:00,"ዉድ ደንበኞቻችን፣በሁሉም ላፕቶፖች 
ላይ ምንም አይነት የዋጋ ጭማሪ አላደረግንም !🙏🙏🙏
🔵💻Dell precision 
32GB DDR4 RAM & 
4K TOUCH SCREEN 
CORE i7 10th generation 
6 CORE 12CPU
Intel® Core™ i7-10850H Processor 
12M Cache, up to 5.10 GHz
Model : precision 5550
Condition: Brand New 
🖥 Screen :15.6 inch 2024p 4K
TOUCH SCREEN 
📼 Storage :512gb Nvme SSD
⏳Ram : 32gb DDR4 🙄 
💎 4gb NIVIDA Quadro  T1000
Dedicated Graphics 
🔋:6hr.+ hours battery life 
👉white  keyboard backlit 
👉HD Sound system",-1001601399995,136,data/raw/media\@ethio_market_place_11007.jpg,,"ዉድ ደንበኞቻችንበሁሉም ላፕቶፖች ላይ ምንም አይነት የዋጋ ጭማሪ አላደረግንም 🙏🙏🙏 🔵💻Dell precision 32GB DDR4 RAM & 4K TOUCH SCREEN CORE i7 10th generation 6 CORE 12CPU Intel® Core™ i7-10850H Processor 12M Cache, up to 5.10 GHz Model : precision 5550 Condition: Brand New 🖥 Screen :15.6 inch 2024p 4K TOUCH SCREEN 📼 Storage :512gb Nvme SSD ⏳Ram : 32gb DDR4 🙄 💎 4gb NIVIDA Quadro T1000 Dedicated Graphics 🔋:6hr.+ hours battery life 👉white keyboard backlit 👉HD Sound system"
@ethio_market_place,11006,2024-09-19T12:42:14+00:00,"Hp pavilion 2023 silver and blue 
✨it's 12th Generation P Processor 
Intel® Core™ i5-1240P Processor
12 core 16 cpu😍
12M Cache, up to 4.40 GHz!
Model : pavilion 15-eg2xxx
Condition: BRAND NEW 
💎GRAPHICS:  Intel® Iris® Xe+ 
🖥 Screen :15.6 ""inch  UHD 
1080p FHD thin bezzel 😍
📼 Storage : 512gb Nvme SSD 
⏳Ram : 16gb DDR4 3200Mhz
🔋: 7hours ++ battery life  😋 
⭐️Fingerprint 
⭐️white keyboard backlit 
⭐️slim & lightweight 
⭐️powered by hd  sound",-1001601399995,120,data/raw/media\@ethio_market_place_11006.jpg,,"Hp pavilion 2023 silver and blue ✨it's 12th Generation P Processor Intel® Core™ i5-1240P Processor 12 core 16 cpu😍 12M Cache, up to 4.40 GHz Model : pavilion 15-eg2xxx Condition: BRAND NEW 💎GRAPHICS: Intel® Iris® Xe+ 🖥 Screen :15.6 ""inch UHD 1080p FHD thin bezzel 😍 📼 Storage : 512gb Nvme SSD ⏳Ram : 16gb DDR4 3200Mhz 🔋: 7hours ++ battery life 😋 ⭐️Fingerprint ⭐️white keyboard backlit ⭐️slim & lightweight ⭐️powered by hd sound"
@ethio_market_place,11005,2024-09-19T12:42:02+00:00,"👌ልዩ ቅናሽ👌 
🛡️ ከ 1 አመት ዋሰትና ጋር🛡️
በብዛት አስገብተናል😍
አሁን ደግሞ በ 512 SSD 
በተመሳሳይ ዋጋ😍😍😍
📌ይህ ላፕቶፕ በማንኛውም 
     ጊዜ ሱቃችን ይገኛል📌
       👌ሁሌ አለ👌
🔵💻Hp slim elitbook 
Slim Core i5 6th Generation @2.9ghz
Model : Hp Elitbook 840 G3 6th gen.
Condition: Brand New 
🔘GRAPHICS: intel HD graphics 520
🖥 Screen :14.1inch 1080p FHD 
📼 Storage : 1TB HDD OR 512 SSD
⏳Ram : 8gb DDR4
🔋:5hr.+ hours battery life  
👉white keyboard backlit
👉finger print support
👉HD Sound system",-1001601399995,104,data/raw/media\@ethio_market_place_11005.jpg,,👌ልዩ ቅናሽ👌 🛡️ ከ 1 አመት ዋሰትና ጋር🛡️ በብዛት አስገብተናል😍 አሁን ደግሞ በ 512 SSD በተመሳሳይ ዋጋ😍😍😍 📌ይህ ላፕቶፕ በማንኛውም ጊዜ ሱቃችን ይገኛል📌 👌ሁሌ አለ👌 🔵💻Hp slim elitbook Slim Core i5 6th Generation @2.9ghz Model : Hp Elitbook 840 G3 6th gen. Condition: Brand New 🔘GRAPHICS: intel HD graphics 520 🖥 Screen :14.1inch 1080p FHD 📼 Storage : 1TB HDD OR 512 SSD ⏳Ram : 8gb DDR4 🔋:5hr.+ hours battery life 👉white keyboard backlit 👉finger print support 👉HD Sound system
@ethio_market_place,11004,2024-09-19T12:41:48+00:00,🔥WINTER 🥶 CAP 🔥,-1001601399995,96,data/raw/media\@ethio_market_place_11004.jpg,,🔥WINTER 🥶 CAP 🔥
@ethio_market_place,11003,2024-09-19T12:41:24+00:00,"iPhone X
256GB Storage
87% Battery Health
Black Color
Everything Works Perfectly Fine",-1001601399995,89,data/raw/media\@ethio_market_place_11003.jpg,,iPhone X 256GB Storage 87% Battery Health Black Color Everything Works Perfectly Fine
@ethio_market_place,11002,2024-09-19T12:41:00+00:00,"iPhone 12 Pro Max
256GB Storage
Pacific Blue Color
95% Battery Health
Everything Genuine 
New Condition",-1001601399995,79,data/raw/media\@ethio_market_place_11002.jpg,,iPhone 12 Pro Max 256GB Storage Pacific Blue Color 95% Battery Health Everything Genuine New Condition
