channel,message_id,date,text,sender_id,views,image_path,doc_path,processed_text
@heyonlinemarket,1762,2025-06-16T17:00:55+00:00,"-Mackbook Air M4 (2025)
16GM RAM/ 256GB
177,000 Birr

-Mackbook Air M3 (2025)
16GM RAM/ 256GB
167,000 Birr

-Mackbook Air M2 (2025)
16GM RAM/ 256GB
157,000 Birr

Contact us :
0953964175 @heymobile

@Heyonlinemarket",-1001386408521,2358,data/raw/media\@heyonlinemarket_1762.jpg,,"-Mackbook Air M4 (2025) 16GM RAM/ 256GB 177,000 ETB -Mackbook Air M3 (2025) 16GM RAM/ 256GB 167,000 ETB -Mackbook Air M2 (2025) 16GM RAM/ 256GB 157,000 ETB Contact us : 0953964175 @heymobile @Heyonlinemarket"
@heyonlinemarket,1761,2025-06-14T09:33:59+00:00,"Samsung 21 Ultra 5G

Display: 6.8 inches 
Quad camera: Wide, Telephoto, periscope and Ultra Wide
Battery: 5000 mAh
RAM: 12 GB 

Price  New
44,000 Birr 

Contact us :
0953964175

@Heyonlinemarket",-1001386408521,3632,data/raw/media\@heyonlinemarket_1761.jpg,,"Samsung 21 Ultra 5G Display: 6.8 inches Quad camera: Wide, Telephoto, periscope and Ultra Wide Battery: 5000 mAh RAM: 12 GB Price New 44,000 ETB Contact us : 0953964175 @Heyonlinemarket"
@heyonlinemarket,1760,2025-06-11T16:11:51+00:00,"•PS4 Slim, 40,000 Birr
•PS4 PRO, 45,000 Birr

•Original Controller 6,499 Birr

Contact Us
0953964175 @heymobile

@heyonlinemarket",-1001386408521,4706,data/raw/media\@heyonlinemarket_1760.jpg,,"•PS4 Slim, 40,000 ETB •PS4 PRO, 45,000 ETB •Original Controller 6,499 ETB Contact Us 0953964175 @heymobile @heyonlinemarket"
@heyonlinemarket,1759,2025-06-05T15:58:52+00:00,"-FC 25 PS4 & PS5 
  
  5,999 Birr Only 

Contact us :
0930413346 @zthom1 
@Heyonlinemarket",-1001386408521,6735,data/raw/media\@heyonlinemarket_1759.jpg,,"-FC 25 PS4 & PS5 5,999 ETB Only Contact us : 0930413346 @zthom1 @Heyonlinemarket"
@heyonlinemarket,1758,2025-05-31T16:44:32+00:00,"Samsung Galaxy S25 Ultra 
•256GB = 149,000 Birr
•512GB = 169,000 Birr

Samsung Galaxy S24 Ultra 
•256GB = 127,000 Birr
•512GB = 139,000 Birr

Contact us :
0925927457 @eBRO4 
0953964175 @heymobile
@Heyonlinemarket",-1001386408521,8225,data/raw/media\@heyonlinemarket_1758.jpg,,"Samsung Galaxy S25 Ultra •256GB = 149,000 ETB •512GB = 169,000 ETB Samsung Galaxy S24 Ultra •256GB = 127,000 ETB •512GB = 139,000 ETB Contact us : 0925927457 @eBRO4 0953964175 @heymobile @Heyonlinemarket"
@heyonlinemarket,1757,2025-05-19T16:19:22+00:00,"MAC Mini (M2)

M2 Chip 
512GB SSD
8GB RAM

95,000 birr

Contact Us
0953964175 @heymobile

@heyonlinemarket",-1001386408521,9097,data/raw/media\@heyonlinemarket_1757.jpg,,"MAC Mini (M2) M2 Chip 512GB SSD 8GB RAM 95,000 ETB Contact Us 0953964175 @heymobile @heyonlinemarket"
@heyonlinemarket,1756,2025-05-14T17:23:08+00:00,"•iMac (M3 Chip)

2024 Year
24’ Retina Display
256 GB Storage 
8GB RAM

283,000 birr 

0953964175 @heymobile
0925927457 @eBRO4 

@heyonlinemarket",-1001386408521,9563,data/raw/media\@heyonlinemarket_1756.jpg,,"•iMac (M3 Chip) 2024 Year 24’ Retina Display 256 GB Storage 8GB RAM 283,000 ETB 0953964175 @heymobile 0925927457 @eBRO4 @heyonlinemarket"
@heyonlinemarket,1755,2025-05-10T16:45:11+00:00,"•PlayStation 5 Standard ,82,000 Birr
•Playstaion 5 Slim, 93,000 Birr
•Playstaion 5 Pro, 135,000 Birr

Contact 
0953964175 @heymobile
0925927457 @ebro4

@heyonlinemarket",-1001386408521,10021,data/raw/media\@heyonlinemarket_1755.jpg,,"•PlayStation 5 Standard ,82,000 ETB •Playstaion 5 Slim, 93,000 ETB •Playstaion 5 Pro, 135,000 ETB Contact 0953964175 @heymobile 0925927457 @ebro4 @heyonlinemarket"
@heyonlinemarket,1754,2025-05-09T16:16:07+00:00,"-Mackbook Air M4 (2025)
16GM RAM/ 256GB
190,000 Birr

-Mackbook Air M4 (2025)
16GM RAM/512GB
210,000 Birr

Contact us :
0953964175 @heymobile

@Heyonlinemarket",-1001386408521,9506,data/raw/media\@heyonlinemarket_1754.jpg,,"-Mackbook Air M4 (2025) 16GM RAM/ 256GB 190,000 ETB -Mackbook Air M4 (2025) 16GM RAM/512GB 210,000 ETB Contact us : 0953964175 @heymobile @Heyonlinemarket"
@heyonlinemarket,1753,2025-04-25T05:06:06+00:00,"iPhone 16 Pro Max 
•256GB = 194,000 Birr
•512GB = 224,000 Birr

iPhone 15 Pro Max 
•256GB = 154,000 Birr
•512GB = 174,000 Birr

Contact us :
0925927457 @eBRO4 
0953964175 @heymobile",-1001386408521,11668,data/raw/media\@heyonlinemarket_1753.jpg,,"iPhone 16 Pro Max •256GB = 194,000 ETB •512GB = 224,000 ETB iPhone 15 Pro Max •256GB = 154,000 ETB •512GB = 174,000 ETB Contact us : 0925927457 @eBRO4 0953964175 @heymobile"
